title,year,director,rating,genre
The Godfather,1972,Francis Ford Coppola,9.2,Crime
The Shawshank Redemption,1994,Frank Darabont,9.3,Drama
"The Good, the Bad and the Ugly",1966,Sergio Leone,8.8,Western
Schindler's List,1993,Steven Spielberg,8.9,Drama
Pulp Fiction,1994,Quentin Tarantino,8.9,Crime
The Dark Knight,2008,Christopher Nolan,9.0,Action
Inception,2010,Christopher Nolan,8.8,Sci-Fi
Goodfellas,1990,Martin Scorsese,8.7,Crime
Fight Club,1999,David Fincher,8.8,Drama
The Matrix,1999,Lana Wachowski,8.7,Sci-Fi
Interstellar,2014,Christopher Nolan,8.7,Sci-Fi
2001: A Space Odyssey,1968,Stanley Kubrick,8.3,Sci-Fi
